Name,District,Current_Tasks,Free_Time_Slots,Languages_Spoken,Work_Specialization,Distance_from_Client_km,Latitude,Longitude,Experience_Years,License_Type,Insurance_Status,Vehicle_Type,Response_Time_Minutes,Availability_Status,Specialization_Level,Equipment_Available,Payment_Methods,Working_Hours,Weekend_Available,Emergency_Service,Guarantee_Period_Days,Min_Order_Value,Max_Distance_km,Rating,Total_Jobs,Success_Rate,Specializations_Detailed,Languages_Detailed,Equipment_List,Service_Areas,Certifications,Membership_Status,Response_Priority
Plumber_1,Valsad,Pipe Installation,"5PM-7PM, 9AM-11AM, 11AM-1PM",Gujarati,Bathroom Fitting,22.7,20.6100,72.9300,8,Licensed,Insured,Motorcycle,15,Available,Expert,"Pipe Cutters, Wrenches, Sealants",Cash/Card,8AM-8PM,Yes,Yes,30,500,50,4.2,156,95,"Bathroom Fitting, Pipe Installation, Leak Repair, Faucet Installation","Gujarati, Hindi, English","Pipe Cutters, Wrenches, Sealants, Pressure Gauge, Leak Detector","Valsad, Surat, Navsari",Plumbing License,Gold,High
Plumber_2,Porbandar,Bathroom Fitting,"3PM-5PM, 11AM-1PM",Hindi,Leak Repair,46.5,21.6420,69.6040,5,Licensed,Insured,Car,25,Available,Intermediate,"Basic Tools, Sealants",Cash,9AM-6PM,No,Yes,15,300,40,3.8,89,88,"Leak Repair, Bathroom Fitting, Pipe Installation","Hindi, Gujarati","Basic Tools, Sealants, Pipe Tape","Porbandar, Junagadh",Plumbing License,Silver,Medium
Plumber_3,Surendranagar,"Kitchen Plumbing, Pipe Installation","1PM-3PM, 3PM-5PM, 11AM-1PM",Marathi,Leak Repair,17.4,22.7284,71.6372,12,Licensed,Insured,Van,10,Available,Expert,"Complete Tool Set, Advanced Equipment",Cash/Card/UPI,7AM-9PM,Yes,Yes,60,400,60,4.5,234,97,"Kitchen Plumbing, Pipe Installation, Leak Repair, Water Tank Installation","Marathi, Hindi, English, Gujarati","Complete Tool Set, Advanced Equipment, CCTV Camera, Hydro Jetting","Surendranagar, Rajkot, Ahmedabad",Advanced Plumbing License,Platinum,High
Plumber_4,Bhavnagar,"Water Tank Cleaning, Bathroom Fitting","5PM-7PM, 11AM-1PM",Hindi,Water Tank Cleaning,6.4,21.7645,72.1519,3,Unlicensed,Not Insured,Bicycle,8,Available,Beginner,"Basic Cleaning Tools",Cash,10AM-5PM,No,No,0,200,20,3.2,45,82,"Water Tank Cleaning, Basic Plumbing","Hindi, Gujarati","Basic Cleaning Tools, Brushes, Chemicals","Bhavnagar",None,Bronze,Low
Plumber_5,Porbandar,"Kitchen Plumbing, Pipe Installation","3PM-5PM, 9AM-11AM, 1PM-3PM","Marathi, Hindi",Leak Repair,20.4,21.6420,69.6040,7,Licensed,Insured,Motorcycle,18,Available,Intermediate,"Standard Tools, Leak Detectors",Cash/UPI,8AM-7PM,Yes,Yes,30,350,45,4.0,123,91,"Leak Repair, Kitchen Plumbing, Pipe Installation","Marathi, Hindi, English","Standard Tools, Leak Detectors, Pressure Test Kit","Porbandar, Junagadh, Rajkot",Plumbing License,Gold,Medium
Plumber_6,Surat,"Leak Repair, Kitchen Plumbing",9AM-11AM,English,Water Tank Cleaning,14.7,21.1702,72.8311,15,Licensed,Insured,Van,12,Available,Expert,"Professional Equipment, Advanced Tools",Cash/Card/UPI/Net Banking,6AM-10PM,Yes,Yes,90,600,80,4.7,456,98,"Water Tank Cleaning, Leak Repair, Kitchen Plumbing, Industrial Plumbing","English, Hindi, Gujarati, Marathi","Professional Equipment, Advanced Tools, Robotic Cleaners, Water Quality Testers","Surat, Navsari, Valsad, Bharuch",Master Plumber License,Platinum,High
Plumber_7,Bharuch,Pipe Installation,"11AM-1PM, 9AM-11AM","English, Marathi, Gujarati",Water Tank Cleaning,30.9,21.7051,72.9959,9,Licensed,Insured,Car,22,Available,Expert,"Complete Tool Set, Specialized Equipment",Cash/Card,8AM-8PM,Yes,Yes,45,450,55,4.3,189,94,"Water Tank Cleaning, Pipe Installation, Industrial Plumbing","English, Marathi, Gujarati, Hindi","Complete Tool Set, Specialized Equipment, Water Treatment Systems","Bharuch, Surat, Vadodara",Industrial Plumbing License,Gold,High
Plumber_8,Patan,Kitchen Plumbing,"1PM-3PM, 9AM-11AM, 11AM-1PM","Gujarati, Marathi",Kitchen Plumbing,9.6,23.8506,72.1261,6,Licensed,Insured,Motorcycle,12,Available,Intermediate,"Kitchen Specific Tools",Cash/UPI,9AM-6PM,No,Yes,20,300,35,3.9,98,89,"Kitchen Plumbing, Bathroom Fitting, Pipe Installation","Gujarati, Marathi, Hindi","Kitchen Specific Tools, Faucet Wrenches, Sink Tools","Patan, Mehsana, Gandhinagar",Plumbing License,Silver,Medium
Plumber_9,Banaskantha,"Bathroom Fitting, Pipe Installation",9AM-11AM,"Gujarati, Marathi",Bathroom Fitting,13.5,24.3782,72.3896,4,Unlicensed,Not Insured,Bicycle,15,Available,Beginner,"Basic Tools",Cash,10AM-4PM,No,No,0,250,25,3.1,67,85,"Bathroom Fitting, Basic Pipe Work","Gujarati, Marathi","Basic Tools, Hand Tools","Banaskantha",None,Bronze,Low
Plumber_10,Surat,"Water Tank Cleaning, Leak Repair",3PM-5PM,"English, Marathi, Hindi",Kitchen Plumbing,39.3,21.1702,72.8311,11,Licensed,Insured,Van,20,Available,Expert,"Advanced Equipment, Professional Tools",Cash/Card/UPI,7AM-9PM,Yes,Yes,60,500,70,4.4,298,96,"Kitchen Plumbing, Water Tank Cleaning, Leak Repair, Commercial Plumbing","English, Marathi, Hindi, Gujarati","Advanced Equipment, Professional Tools, Commercial Grade Equipment","Surat, Navsari, Valsad",Commercial Plumbing License,Platinum,High
