Name,District,Current_Tasks,Free_Time_Slots,Languages_Spoken,Work_Specialization,Distance_from_Client_km,Latitude,Longitude
Plumber_1,Valsad,Pipe Installation,"5PM-7PM, 9AM-11AM, 11AM-1PM",Gujarati,Bathroom Fitting,22.7,20.6100,72.9300
Plumber_2,Porbandar,Bathroom Fitting,"3PM-5PM, 11AM-1PM",Hindi,Leak Repair,46.5,21.6420,69.6040
Plumber_3,Surendranagar,"Kitchen Plumbing, Pipe Installation","1PM-3PM, 3PM-5PM, 11AM-1PM",Marathi,Leak Repair,17.4,22.7284,71.6372
Plumber_4,Bhavnagar,"Water Tank Cleaning, Bathroom Fitting","5PM-7PM, 11AM-1PM",Hindi,Water Tank Cleaning,6.4,21.7645,72.1519
Plumber_5,Porbandar,"Kitchen Plumbing, Pipe Installation","3PM-5PM, 9AM-11AM, 1PM-3PM","Marathi, Hindi",Leak Repair,20.4,21.6420,69.6040
Plumber_6,Surat,"Leak Repair, Kitchen Plumbing",9AM-11AM,English,Water Tank Cleaning,14.7,21.1702,72.8311
Plumber_7,Bharuch,Pipe Installation,"11AM-1PM, 9AM-11AM","English, Marathi, Gujarati",Water Tank Cleaning,30.9,21.7051,72.9959
Plumber_8,Patan,Kitchen Plumbing,"1PM-3PM, 9AM-11AM, 11AM-1PM","Gujarati, Marathi",Kitchen Plumbing,9.6,23.8506,72.1261
Plumber_9,Banaskantha,"Bathroom Fitting, Pipe Installation",9AM-11AM,"Gujarati, Marathi",Bathroom Fitting,13.5,24.3782,72.3896
Plumber_10,Surat,"Water Tank Cleaning, Leak Repair",3PM-5PM,"English, Marathi, Hindi",Kitchen Plumbing,39.3,21.1702,72.8311
Plumber_11,Patan,"Water Tank Cleaning, Kitchen Plumbing","11AM-1PM, 3PM-5PM, 5PM-7PM",Marathi,Kitchen Plumbing,29.6,23.8506,72.1261
Plumber_12,Vadodara,Kitchen Plumbing,"1PM-3PM, 11AM-1PM","Marathi, English",Kitchen Plumbing,48.8,22.3039,73.1812
Plumber_13,Amreli,"Water Tank Cleaning, Bathroom Fitting, Leak Repair","9AM-11AM, 11AM-1PM, 1PM-3PM","Gujarati, Hindi, English",Water Tank Cleaning,42.0,22.5726,72.9505
Plumber_14,Anand,Bathroom Fitting,"11AM-1PM, 3PM-5PM, 5PM-7PM","Hindi, English",Leak Repair,41.3,22.5726,72.9505
Plumber_15,Anand,"Water Tank Cleaning, Kitchen Plumbing, Bathroom Fitting","1PM-3PM, 3PM-5PM","Marathi, English",Leak Repair,16.4,22.5726,72.9505
Plumber_16,Patan,Pipe Installation,"9AM-11AM, 5PM-7PM, 1PM-3PM","Marathi, English",Kitchen Plumbing,16.6,23.8506,72.1261
Plumber_17,Rajkot,Leak Repair,"5PM-7PM, 11AM-1PM",Hindi,Bathroom Fitting,48.1,22.3039,73.1812
Plumber_18,Gandhinagar,Leak Repair,1PM-3PM,"Marathi, Gujarati, English",Kitchen Plumbing,46.3,23.2185,72.6348
Plumber_19,Patan,"Water Tank Cleaning, Leak Repair, Pipe Installation",9AM-11AM,"Marathi, Hindi",Bathroom Fitting,11.0,23.8506,72.1261
Plumber_20,Rajkot,Pipe Installation,"1PM-3PM, 9AM-11AM","English, Gujarati, Marathi",Pipe Installation,49.8,22.3039,73.1812
Plumber_21,Jamnagar,"Kitchen Plumbing, Leak Repair, Water Tank Cleaning",5PM-7PM,"Marathi, English",Pipe Installation,20.0,22.2581,70.0696
Plumber_22,Patan,Bathroom Fitting,9AM-11AM,Gujarati,Leak Repair,23.0,23.8506,72.1261
